,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,67,3287,6,74051,3947,1235,56,2
1,Italy,74386,,7503,,9362,57521,3489,1230,124
2,USA,68489,278,1032,5,394,67063,1455,207,3
3,Spain,49515,,3647,,5367,40501,3166,1059,78
4,Germany,37323,,206,,3547,33570,23,445,2
5,Iran,27017,,2077,,9625,15315,,322,25
6,France,25233,,1331,,3900,20002,2827,387,20
7,Switzerland,10897,,153,,131,10613,141,1259,18
8,UK,9529,,465,,135,8929,163,140,7
9,S. Korea,9241,104,131,5,4144,4966,59,180,3
10,Netherlands,6412,,356,,3,6053,582,374,21
11,Austria,5888,300,34,3,9,5845,28,654,4
12,Belgium,4937,,178,,547,4212,474,426,15
13,Canada,3409,,36,,185,3188,1,90,1
14,Norway,3100,16,14,,6,3080,57,572,3
15,Portugal,2995,,43,,22,2930,61,294,4
16,Australia,2799,123,13,2,170,2616,11,110,0.5
17,Brazil,2554,,59,,6,2489,18,12,0.3
18,Sweden,2526,,62,,16,2448,158,250,6
19,Israel,2495,126,5,,66,2424,41,288,0.6
20,Turkey,2433,,59,,26,2348,136,29,0.7
21,Malaysia,1796,,21,1,199,1576,64,55,0.6
22,Czechia,1775,121,6,,10,1759,34,166,0.6
23,Denmark,1724,,34,,1,1689,87,298,6
24,Ireland,1564,,9,,5,1550,39,317,2
25,Luxembourg,1333,,8,,6,1319,3,2129,13
26,Japan,1307,,45,,310,952,57,10,0.4
27,Ecuador,1211,,29,,3,1179,2,69,2
28,Chile,1142,,3,,22,1117,7,60,0.2
29,Pakistan,1102,39,8,,21,1073,5,5,0.04
30,Poland,1085,34,15,1,7,1063,3,29,0.4
31,Thailand,1045,111,4,,88,953,4,15,0.06
32,Romania,906,,17,,86,803,18,47,0.9
33,Saudi Arabia,900,,2,,29,869,,26,0.06
34,Finland,880,,3,,10,867,22,159,0.5
35,Russia,840,182,3,,38,799,8,6,0.02
36,Greece,821,,23,1,36,762,53,79,2
37,Indonesia,790,,58,,31,701,,3,0.2
38,Iceland,737,,2,,56,679,11,2160,6
39,Diamond Princess,712,,10,,597,105,15,,
40,South Africa,709,,,,12,697,2,12,
41,Philippines,707,71,45,7,28,634,1,6,0.4
42,India,681,24,13,1,43,625,,0.5,0.01
43,Singapore,631,,2,,160,469,17,108,0.3
44,Panama,558,,8,,2,548,20,129,2
45,Qatar,537,,,,41,496,6,186,
46,Slovenia,528,,5,,10,513,14,254,2
47,Argentina,502,,8,,52,442,,11,0.2
48,Croatia,481,39,1,,22,458,14,117,0.2
49,Peru,480,,9,,1,470,9,15,0.3
50,Mexico,475,70,6,1,4,465,1,4,0.05
51,Colombia,470,,4,,8,458,,9,0.08
52,Egypt,456,,21,,95,340,,4,0.2
53,Bahrain,419,,4,,190,225,2,246,2
54,Hong Kong,411,,4,,102,305,4,55,0.5
55,Estonia,404,,1,,8,395,6,305,0.8
56,Dominican Republic,392,,10,,3,379,,36,0.9
57,Serbia,384,,6,2,15,363,21,44,0.7
58,Iraq,346,,29,,103,214,,9,0.7
59,Lebanon,333,,6,,20,307,4,49,0.9
60,UAE,333,,2,,52,279,2,34,0.2
61,Algeria,302,,21,,65,216,,7,0.5
62,Lithuania,290,16,4,,1,285,1,107,1
63,Armenia,290,25,,,18,272,6,98,
64,New Zealand,283,,,,27,256,,59,
65,Hungary,261,35,10,,28,223,6,27,1
66,Taiwan,252,17,2,,29,221,,11,0.08
67,Latvia,244,23,,,1,243,,129,
68,Bulgaria,243,1,3,,4,236,8,35,0.4
69,Morocco,225,,6,,7,212,1,6,0.2
70,Uruguay,217,,,,,217,3,62,
71,Slovakia,216,,,,7,209,2,40,
72,San Marino,208,,21,,4,183,12,6130,619
73,Kuwait,208,13,,,49,159,7,49,
74,Costa Rica,201,,2,,2,197,4,39,0.4
75,Andorra,188,,1,,1,186,6,2433,13
76,Bosnia and Herzegovina,185,9,3,,2,180,1,56,0.9
77,North Macedonia,177,,3,,1,173,1,85,1
78,Tunisia,173,,5,,2,166,11,15,0.4
79,Jordan,172,,,,1,171,,17,
80,Ukraine,156,11,5,,1,150,,4,0.1
81,Moldova,149,,1,,2,146,20,37,0.2
82,Vietnam,148,,,,17,131,3,2,
83,Albania,146,,5,,17,124,3,51,2
84,Burkina Faso,146,,4,,10,132,,7,0.2
85,Faeroe Islands,140,8,,,47,93,,2865,
86,Cyprus,132,,3,,3,126,3,109,2
87,Malta,129,,,,2,127,1,292,
88,Réunion,111,,,,1,110,,124,
89,Brunei,109,,,,2,107,1,249,
90,Venezuela,106,,,,15,91,2,4,
91,Sri Lanka,102,,,,3,99,3,5,
92,Oman,99,,,,17,82,,19,
93,Senegal,99,,,,9,90,,6,
94,Kazakhstan,97,16,,,2,95,,5,
95,Cambodia,96,,,,10,86,1,6,
96,Azerbaijan,93,,2,,10,81,6,9,0.2
97,Palestine,86,15,1,,17,68,,17,0.2
98,Belarus,86,,,,29,57,2,9,
99,Afghanistan,84,,2,,2,80,,2,0.05
100,Ivory Coast,80,,,,3,77,,3,
101,Georgia,77,2,,,10,67,1,19,
102,Cameroon,75,,1,,2,72,,3,0.04
103,Guadeloupe,73,,1,,,72,4,182,2
104,Ghana,68,,4,,,64,,2,0.1
105,Montenegro,67,14,1,,,66,1,107,2
106,Martinique,66,,1,,,65,7,176,3
107,Uzbekistan,65,5,,,,65,4,2,
108,Trinidad and Tobago,60,,1,,,59,,43,0.7
109,Cuba,57,,1,,1,55,2,5,0.09
110,Mauritius,52,4,2,,,50,1,41,2
111,Honduras,52,,,,,52,,5,
112,DRC,51,3,3,1,,48,,0.6,0.03
113,Nigeria,51,,1,,2,48,,0.2,0
114,Liechtenstein,51,,,,,51,,1338,
115,Channel Islands,46,,1,1,,45,,265,6
116,Kyrgyzstan,44,,,,,44,,7,
117,Paraguay,41,4,3,,,38,1,6,0.4
118,Rwanda,41,,,,,41,,3,
119,Bangladesh,39,,5,,7,27,,0.2,0.03
120,Bolivia,38,6,,,,38,,3,
121,Mayotte,36,,,,,36,,132,
122,Macao,31,,,,10,21,,48,
123,Monaco,31,,,,1,30,,790,
124,French Guiana,28,,,,6,22,,94,
125,Kenya,28,,,,1,27,,0.5,
126,Jamaica,26,,1,,2,23,,9,0.3
127,Gibraltar,26,,,,5,21,,772,
128,French Polynesia,25,,,,,25,,89,
129,Guatemala,24,,1,,4,19,,1,0.06
130,Isle of Man,23,,,,,23,,270,
131,Togo,23,,,,1,22,,3,
132,Aruba,19,,,,1,18,,178,
133,Madagascar,19,,,,,19,,0.7,
134,Barbados,18,,,,,18,,63,
135,New Caledonia,14,,,,,14,,49,
136,Uganda,14,,,,,14,,0.3,
137,El Salvador,13,4,,,,13,,2,
138,Maldives,13,,,,8,5,,24,
139,Tanzania,13,,,,,13,,0.2,
140,Ethiopia,12,,,,,12,,0.1,
141,Zambia,12,,,,,12,,0.7,
142,Djibouti,11,,,,,11,,11,
143,Dominica,11,,,,,11,,153,
144,Mongolia,11,1,,,,11,,3,
145,Saint Martin,11,,,,,11,,284,
146,Equatorial Guinea,9,,,,,9,,6,
147,Cayman Islands,8,,1,,,7,,122,15
148,Haiti,8,,,,,8,,0.7,
149,Suriname,8,,,,,8,,14,
150,Gabon,7,1,1,,,6,,3,0.4
151,Niger,7,,1,,,6,,0.3,0.04
152,Bermuda,7,,,,,7,,112,
153,Namibia,7,,,,2,5,,3,
154,Seychelles,7,,,,,7,,71,
155,Curaçao,6,,1,,2,3,,37,6
156,Benin,6,,,,,6,,0.5,
157,Greenland,6,,,,2,4,,106,
158,Guyana,5,,1,,,4,,6,1
159,Bahamas,5,,,,1,4,,13,
160,Fiji,5,,,,,5,,6,
161,Mozambique,5,,,,,5,,0.2,
162,Syria,5,,,,,5,,0.3,
163,Cabo Verde,4,,1,,,3,,7,2
164,Congo,4,,,,,4,,0.7,
165,Eritrea,4,,,,,4,,1,
166,Guinea,4,,,,,4,,0.3,
167,Vatican City,4,,,,,4,,4994,
168,Eswatini,4,,,,,4,,3,
169,Gambia,3,,1,,,2,,1,0.4
170,Sudan,3,,1,,,2,,0.07,0.02
171,Zimbabwe,3,,1,,,2,,0.2,0.07
172,Nepal,3,,,,1,2,,0.1,
173,Angola,3,,,,,3,,0.09,
174,Antigua and Barbuda,3,,,,,3,,31,
175,CAR,3,,,,,3,,0.6,
176,Chad,3,,,,,3,,0.2,
177,Laos,3,,,,,3,,0.4,
178,Liberia,3,,,,,3,,0.6,
179,Myanmar,3,,,,,3,,0.06,
180,St. Barth,3,,,,,3,,304,
181,Saint Lucia,3,,,,,3,,16,
182,Sint Maarten,3,,,,,3,,70,
183,Belize,2,,,,,2,,5,
184,Bhutan,2,,,,,2,,3,
185,British Virgin Islands,2,,,,,2,,66,
186,Guinea-Bissau,2,,,,,2,,1,
187,Mali,2,,,,,2,,0.1,
188,Mauritania,2,,,,,2,,0.4,
189,Nicaragua,2,,,,,2,,0.3,
190,Saint Kitts and Nevis,2,,,,,2,,38,
191,Somalia,2,1,,,,2,,0.1,
192,Grenada,1,,,,,1,,9,
193,Libya,1,,,,,1,,0.1,
194,Montserrat,1,,,,,1,,200,
195,Papua New Guinea,1,,,,,1,,0.1,
196,St. Vincent Grenadines,1,,,,,1,,9,
197,Timor-Leste,1,,,,,1,,0.8,
198,Turks and Caicos,1,,,,,1,,26,
